League,Degree,whyplay,Age,GAD_T
Diamond,High School,improving,24,15
Bronze,Bachelor,having fun,36,5
Gold,High School,winning,22,2
Gold,Master,having fun,25,1
Gold,High School,having fun,21,7
Gold,High School,improving,19,8
Bronze,High School,improving,20,18
Diamond,Bachelor,winning,20,5
Diamond,Bachelor,winning,22,1
Silver,High School,improving,27,1
Platinum,High School,improving,20,0
Gold,High School,winning,18,13
Unranked,High School,having fun,19,15
Gold,High School,improving,19,3
Platinum,High School,relaxing,18,5
Gold,High School,improving,19,9
Unranked,High School,having fun,20,2
Diamond,Bachelor,improving,21,4
Gold,Bachelor,having fun,20,8
Unranked,High School,having fun,23,8
Gold,High School,having fun,21,17
Diamond,High School,improving,23,4
Gold,High School,having fun,18,3
Platinum,High School,winning,18,13
Gold,High School,improving,20,2
Bronze,High School,having fun,20,3
Silver,Master,having fun,34,4
Gold,Bachelor,having fun,21,6
Diamond,High School,having fun,18,11
Platinum,Doctor,improving,25,1
Silver,High School,having fun,19,7
Gold,Master,improving,23,6
Gold,High School,having fun,18,1
Gold,High School,improving,18,2
Silver,High School,having fun,21,10
Gold,High School,having fun,23,3
Diamond,High School,improving,22,4
Diamond,High School,improving,21,3
Gold,High School,improving,20,5
Platinum,High School,winning,19,9
Diamond,High School,having fun,24,2
Platinum,High School,improving,18,6
Diamond,Bachelor,relaxing,21,3
Gold,High School,having fun,23,1
Diamond,Bachelor,improving,22,6
Gold,High School,having fun,19,1
Diamond,Master,improving,21,11
Diamond,High School,improving,25,9
Bronze,High School,having fun,18,0
Diamond,High School,improving,19,3
Gold,Bachelor,having fun,23,4
Silver,Bachelor,improving,29,3
Gold,None,winning,18,9
Gold,None,improving,18,4
Silver,Bachelor,having fun,25,14
Platinum,Bachelor,relaxing,21,3
Diamond,Bachelor,improving,21,1
Unranked,High School,having fun,20,6
Silver,Bachelor,improving,21,12
Silver,High School,having fun,21,0
Silver,None,improving,18,8
Platinum,High School,improving,18,4
Gold,Bachelor,having fun,19,19
Diamond,Bachelor,improving,26,0
Silver,High School,improving,18,5
Diamond,High School,improving,26,2
Silver,None,having fun,18,4
Silver,Bachelor,having fun,23,2
Platinum,High School,having fun,19,6
Gold,High School,improving,18,2
Platinum,High School,improving,18,14
Gold,High School,relaxing,24,7
Silver,None,winning,20,1
Gold,Master,improving,30,21
Platinum,High School,improving,20,1
Gold,Bachelor,improving,29,4
Silver,High School,improving,20,4
Gold,Master,having fun,23,8
Diamond,High School,winning,25,4
Gold,Doctor,improving,23,1
Platinum,None,improving,18,1
Diamond,None,having fun,18,5
Unranked,Bachelor,having fun,29,9
Diamond,Master,having fun,24,2
Gold,Bachelor,improving,20,3
Gold,Bachelor,improving,23,6
Gold,Master,improving,25,6
Gold,High School,improving,19,3
Silver,Master,having fun,30,6
Gold,High School,having fun,20,2
Gold,High School,having fun,20,9
Gold,High School,having fun,18,4
Platinum,High School,having fun,22,1
Platinum,Master,having fun,22,2
Platinum,None,improving,18,2
Bronze,Bachelor,improving,26,3
Platinum,High School,having fun,21,3
Silver,Bachelor,having fun,23,0
Diamond,High School,improving,19,1
Platinum,High School,having fun,22,5
Gold,Master,improving,25,1
Silver,High School,having fun,19,3
Unranked,Bachelor,having fun,25,5
Gold,High School,improving,19,7
Diamond,Bachelor,winning,21,2
Platinum,High School,improving,21,4
Gold,High School,improving,19,13
Diamond,Bachelor,improving,24,2
Platinum,Bachelor,having fun,24,0
Diamond,High School,winning,23,3
Bronze,Bachelor,relaxing,19,8
Silver,High School,having fun,20,3
Gold,High School,winning,18,5
Gold,Bachelor,having fun,22,5
Silver,High School,having fun,18,4
Silver,High School,relaxing,26,13
Bronze,High School,improving,23,0
Diamond,High School,winning,20,2
Diamond,High School,having fun,19,0
Diamond,Bachelor,having fun,31,0
Gold,High School,winning,25,17
Silver,High School,winning,19,13
Platinum,Bachelor,winning,21,21
Silver,High School,improving,19,14
Bronze,Bachelor,improving,22,18
Gold,High School,improving,22,4
Gold,High School,improving,20,3
Silver,High School,having fun,19,5
Platinum,Bachelor,relaxing,22,20
Platinum,None,winning,18,7
Gold,High School,improving,21,1
Gold,High School,improving,18,8
Gold,High School,having fun,20,0
Gold,High School,improving,19,1
Bronze,None,having fun,18,6
Gold,High School,having fun,20,2
Silver,High School,having fun,18,18
Diamond,High School,improving,20,5
Diamond,Master,having fun,20,2
Silver,High School,relaxing,18,16
Gold,High School,having fun,20,9
Silver,High School,winning,18,8
