,0,1,2
0,Diamond,High School,improving
1,having fun,Bachelor,Bronze
2,winning,High School,Gold
3,Master,having fun,Gold
4,having fun,High School,Gold
5,improving,High School,Gold
6,improving,High School,Bronze
7,Diamond,Bachelor,winning
8,Diamond,Bachelor,winning
9,improving,High School,Silver
10,Platinum,High School,improving
11,winning,High School,Gold
12,Unranked,having fun,High School
13,improving,High School,Gold
14,Platinum,High School,relaxing
15,improving,High School,Gold
16,Unranked,having fun,High School
17,Diamond,Bachelor,improving
18,having fun,Bachelor,Gold
19,Unranked,having fun,High School
20,having fun,High School,Gold
21,Diamond,High School,improving
22,having fun,High School,Gold
23,Platinum,High School,winning
24,improving,High School,Gold
25,having fun,High School,Bronze
26,Master,having fun,Silver
27,having fun,Bachelor,Gold
28,Diamond,having fun,High School
29,Platinum,Doctor,improving
30,having fun,High School,Silver
31,Master,improving,Gold
32,having fun,High School,Gold
33,improving,High School,Gold
34,having fun,High School,Silver
35,having fun,High School,Gold
36,Diamond,High School,improving
37,Diamond,High School,improving
38,improving,High School,Gold
39,Platinum,High School,winning
40,Diamond,having fun,High School
41,Platinum,High School,improving
42,Diamond,Bachelor,relaxing
43,having fun,High School,Gold
44,Diamond,Bachelor,improving
45,having fun,High School,Gold
46,Diamond,Master,improving
47,Diamond,High School,improving
48,having fun,High School,Bronze
49,Diamond,High School,improving
50,having fun,Bachelor,Gold
51,improving,Bachelor,Silver
52,winning,None,Gold
53,improving,None,Gold
54,having fun,Bachelor,Silver
55,Platinum,Bachelor,relaxing
56,Diamond,Bachelor,improving
57,Unranked,having fun,High School
58,improving,Bachelor,Silver
59,having fun,High School,Silver
60,improving,None,Silver
61,Platinum,High School,improving
62,having fun,Bachelor,Gold
63,Diamond,Bachelor,improving
64,improving,High School,Silver
65,Diamond,High School,improving
66,having fun,None,Silver
67,having fun,Bachelor,Silver
68,Platinum,having fun,High School
69,improving,High School,Gold
70,Platinum,High School,improving
71,relaxing,High School,Gold
72,None,Silver,winning
73,Master,improving,Gold
74,Platinum,High School,improving
75,improving,Bachelor,Gold
76,improving,High School,Silver
77,Master,having fun,Gold
78,Diamond,High School,winning
79,improving,Doctor,Gold
80,Platinum,None,improving
81,Diamond,having fun,None
82,Unranked,having fun,Bachelor
83,Diamond,having fun,Master
84,improving,Bachelor,Gold
85,improving,Bachelor,Gold
86,Master,improving,Gold
87,improving,High School,Gold
88,Master,having fun,Silver
89,having fun,High School,Gold
90,having fun,High School,Gold
91,having fun,High School,Gold
92,Platinum,having fun,High School
93,Platinum,having fun,Master
94,Platinum,None,improving
95,improving,Bachelor,Bronze
96,Platinum,having fun,High School
97,having fun,Bachelor,Silver
98,Diamond,High School,improving
99,Platinum,having fun,High School
100,Master,improving,Gold
101,having fun,High School,Silver
102,Unranked,having fun,Bachelor
103,improving,High School,Gold
104,Diamond,Bachelor,winning
105,Platinum,High School,improving
106,improving,High School,Gold
107,Diamond,Bachelor,improving
108,Platinum,having fun,Bachelor
109,Diamond,High School,winning
110,Bachelor,Bronze,relaxing
111,having fun,High School,Silver
112,winning,High School,Gold
113,having fun,Bachelor,Gold
114,having fun,High School,Silver
115,High School,Silver,relaxing
116,improving,High School,Bronze
117,Diamond,High School,winning
118,Diamond,having fun,High School
119,Diamond,having fun,Bachelor
120,winning,High School,Gold
121,High School,Silver,winning
122,Platinum,Bachelor,winning
123,improving,High School,Silver
124,improving,Bachelor,Bronze
125,improving,High School,Gold
126,improving,High School,Gold
127,having fun,High School,Silver
128,Platinum,Bachelor,relaxing
129,Platinum,None,winning
130,improving,High School,Gold
131,improving,High School,Gold
132,having fun,High School,Gold
133,improving,High School,Gold
134,having fun,Bronze,None
135,having fun,High School,Gold
136,having fun,High School,Silver
137,Diamond,High School,improving
138,Diamond,having fun,Master
139,High School,Silver,relaxing
140,having fun,High School,Gold
141,High School,Silver,winning
142,improving,Bachelor,Gold
143,Platinum,High School,winning
144,Diamond,High School,improving
145,Diamond,High School,improving
146,Master,Silver,winning
147,Diamond,High School,improving
148,Platinum,High School,improving
149,having fun,High School,Bronze
150,Diamond,High School,improving
151,Diamond,High School,improving
152,Platinum,Master,winning
153,Diamond,having fun,High School
154,None,Silver,winning
155,Platinum,High School,improving
156,improving,Bachelor,Silver
157,Platinum,having fun,Bachelor
158,Platinum,Bachelor,improving
159,having fun,High School,Bronze
160,Diamond,having fun,None
161,Platinum,High School,improving
162,Platinum,having fun,High School
163,having fun,High School,Gold
164,having fun,High School,Silver
165,Platinum,Bachelor,winning
166,Master,improving,Gold
167,having fun,Bachelor,Gold
168,Unranked,having fun,None
169,Master,improving,Gold
170,relaxing,High School,Gold
171,having fun,Bachelor,Gold
172,having fun,High School,Silver
173,improving,Bachelor,Silver
174,Diamond,Bachelor,winning
175,having fun,Bachelor,Bronze
176,Diamond,None,relaxing
177,relaxing,Bachelor,Gold
178,having fun,High School,Gold
179,having fun,High School,Gold
180,Platinum,Bachelor,improving
181,having fun,Bachelor,Gold
182,Platinum,None,relaxing
183,improving,High School,Bronze
184,Platinum,having fun,High School
185,having fun,High School,Silver
186,High School,Bronze,relaxing
187,having fun,High School,Gold
188,Master,having fun,Silver
189,improving,None,Gold
190,Diamond,High School,improving
191,having fun,High School,Gold
192,Master,Silver,winning
193,Diamond,having fun,High School
194,Diamond,High School,improving
195,having fun,Bachelor,Gold
