League,Degree,Age,GAD_T
Diamond,High School,24,15
Bronze,Bachelor,36,5
Gold,High School,22,2
Gold,Master,25,1
Gold,High School,21,7
Gold,High School,19,8
Bronze,High School,20,18
Diamond,Bachelor,20,5
Diamond,Bachelor,22,1
Silver,High School,27,1
Platinum,High School,20,0
Gold,High School,18,13
Unranked,High School,19,15
Gold,High School,19,3
Platinum,High School,18,5
Gold,High School,19,9
Unranked,High School,20,2
Diamond,Bachelor,21,4
Gold,Bachelor,20,8
Unranked,High School,23,8
Gold,High School,21,17
Diamond,High School,23,4
Gold,High School,18,3
Platinum,High School,18,13
Gold,High School,20,2
Bronze,High School,20,3
Silver,Master,34,4
Gold,Bachelor,21,6
Diamond,High School,18,11
Platinum,Doctor,25,1
Silver,High School,19,7
Gold,Master,23,6
Gold,High School,18,1
Gold,High School,18,2
Silver,High School,21,10
Gold,High School,23,3
Diamond,High School,22,4
Diamond,High School,21,3
Gold,High School,20,5
Platinum,High School,19,9
Diamond,High School,24,2
Platinum,High School,18,6
Diamond,Bachelor,21,3
Gold,High School,23,1
Diamond,Bachelor,22,6
Gold,High School,19,1
Diamond,Master,21,11
Diamond,High School,25,9
Bronze,High School,18,0
Diamond,High School,19,3
Gold,Bachelor,23,4
Silver,Bachelor,29,3
Gold,None,18,9
Gold,None,18,4
Silver,Bachelor,25,14
Platinum,Bachelor,21,3
Diamond,Bachelor,21,1
Unranked,High School,20,6
Silver,Bachelor,21,12
Silver,High School,21,0
Silver,None,18,8
Platinum,High School,18,4
Gold,Bachelor,19,19
Diamond,Bachelor,26,0
Silver,High School,18,5
Diamond,High School,26,2
Silver,None,18,4
Silver,Bachelor,23,2
Platinum,High School,19,6
Gold,High School,18,2
Platinum,High School,18,14
Gold,High School,24,7
Silver,None,20,1
Gold,Master,30,21
Platinum,High School,20,1
Gold,Bachelor,29,4
Silver,High School,20,4
Gold,Master,23,8
Diamond,High School,25,4
Gold,Doctor,23,1
Platinum,None,18,1
Diamond,None,18,5
Unranked,Bachelor,29,9
Diamond,Master,24,2
Gold,Bachelor,20,3
Gold,Bachelor,23,6
Gold,Master,25,6
Gold,High School,19,3
Silver,Master,30,6
Gold,High School,20,2
Gold,High School,20,9
Gold,High School,18,4
Platinum,High School,22,1
Platinum,Master,22,2
Platinum,None,18,2
Bronze,Bachelor,26,3
Platinum,High School,21,3
Silver,Bachelor,23,0
Diamond,High School,19,1
Platinum,High School,22,5
Gold,Master,25,1
Silver,High School,19,3
Unranked,Bachelor,25,5
Gold,High School,19,7
Diamond,Bachelor,21,2
Platinum,High School,21,4
Gold,High School,19,13
Diamond,Bachelor,24,2
Platinum,Bachelor,24,0
Diamond,High School,23,3
Bronze,Bachelor,19,8
Silver,High School,20,3
Gold,High School,18,5
Gold,Bachelor,22,5
Silver,High School,18,4
Silver,High School,26,13
Bronze,High School,23,0
Diamond,High School,20,2
Diamond,High School,19,0
Diamond,Bachelor,31,0
Gold,High School,25,17
Silver,High School,19,13
Platinum,Bachelor,21,21
Silver,High School,19,14
Bronze,Bachelor,22,18
Gold,High School,22,4
Gold,High School,20,3
Silver,High School,19,5
Platinum,Bachelor,22,20
Platinum,None,18,7
Gold,High School,21,1
Gold,High School,18,8
Gold,High School,20,0
Gold,High School,19,1
Bronze,None,18,6
Gold,High School,20,2
Silver,High School,18,18
Diamond,High School,20,5
Diamond,Master,20,2
Silver,High School,18,16
Gold,High School,20,9
Silver,High School,18,8
Gold,Bachelor,23,8
Platinum,High School,18,4
Diamond,High School,19,9
Diamond,High School,19,13
Silver,Master,28,4
Diamond,High School,18,4
Platinum,High School,24,8
Bronze,High School,19,0
Diamond,High School,18,1
Diamond,High School,19,0
Platinum,Master,24,5
Diamond,High School,18,2
Silver,None,18,4
Platinum,High School,20,2
Silver,Bachelor,25,2
Platinum,Bachelor,23,7
Platinum,Bachelor,28,11
Bronze,High School,21,2
Diamond,None,18,2
Platinum,High School,19,7
Platinum,High School,22,4
Gold,High School,18,1
Silver,High School,25,9
Platinum,Bachelor,23,5
Gold,Master,23,13
Gold,Bachelor,28,8
Unranked,None,18,10
Gold,Master,24,5
Gold,High School,21,1
Gold,Bachelor,26,6
Silver,High School,20,0
Silver,Bachelor,23,1
Diamond,Bachelor,23,4
Bronze,Bachelor,29,1
Diamond,None,18,4
Gold,Bachelor,29,14
Gold,High School,19,4
Gold,High School,19,8
Platinum,Bachelor,22,16
Gold,Bachelor,23,4
Platinum,None,23,7
Bronze,High School,23,3
Platinum,High School,20,5
Silver,High School,20,0
Bronze,High School,30,15
Gold,High School,18,2
Silver,Master,30,6
Gold,None,18,7
Diamond,High School,21,9
Gold,High School,21,5
Silver,Master,28,12
Diamond,High School,19,4
Diamond,High School,18,8
Gold,Bachelor,21,1
Diamond,High School,20,5
Gold,None,18,3
Platinum,Bachelor,27,0
Gold,High School,21,3
Gold,High School,19,11
Platinum,High School,19,2
Platinum,High School,20,14
Gold,High School,20,5
Bronze,Bachelor,21,4
Gold,Master,38,1
Diamond,High School,18,3
Platinum,High School,20,6
